;mean;min;max;diag
0;145.9128888888889;0;214;COVID
1;141.36391111111112;0;226;COVID
2;152.81564444444444;0;254;COVID
3;162.75022222222222;0;251;COVID
4;129.90986666666666;0;217;COVID
5;175.63626666666667;39;255;COVID
6;160.81457777777777;3;251;COVID
7;135.63235555555556;0;203;COVID
8;141.00622222222222;24;204;COVID
9;147.75644444444444;6;214;COVID
10;127.30506666666666;0;206;COVID
11;135.15644444444445;23;225;COVID
12;136.4824888888889;0;230;COVID
13;117.72213333333333;0;196;COVID
14;140.39057777777776;0;212;COVID
15;154.02346666666668;36;234;COVID
16;152.73368888888888;0;209;COVID
17;126.36444444444444;0;216;COVID
18;128.0448;19;208;COVID
19;108.54008888888889;0;247;COVID
20;139.19733333333335;0;222;COVID
21;152.59395555555557;15;237;COVID
22;140.584;0;237;COVID
23;139.63786666666667;0;216;COVID
24;97.76764444444444;28;255;COVID
25;141.95164444444444;38;197;COVID
26;184.93013333333334;0;255;COVID
27;144.50684444444445;0;211;COVID
28;143.7608888888889;22;187;COVID
29;131.52373333333333;0;253;COVID
30;147.06542222222222;0;213;COVID
31;150.0257777777778;2;191;COVID
32;166.76533333333333;0;254;COVID
33;160.1264;0;227;COVID
34;146.29155555555556;5;182;COVID
35;143.304;0;238;COVID
36;146.2232888888889;0;230;COVID
37;149.4734222222222;0;222;COVID
38;125.14915555555555;0;169;COVID
39;164.98648888888889;0;255;COVID
40;147.49866666666668;0;221;COVID
41;110.22062222222222;5;173;COVID
42;151.87857777777776;0;251;COVID
43;143.61617777777778;0;218;COVID
44;122.94311111111111;0;255;COVID
45;154.05653333333333;0;223;COVID
46;138.7656888888889;0;193;COVID
47;160.10293333333334;1;234;COVID
48;150.38968888888888;0;255;COVID
49;147.76;0;207;COVID
50;154.7223111111111;0;221;COVID
51;159.3992888888889;0;253;COVID
52;134.0192;0;237;COVID
53;189.68124444444445;49;250;COVID
54;128.29368888888888;2;251;COVID
55;146.52053333333333;0;220;COVID
56;190.80231111111112;39;247;COVID
57;110.5928888888889;16;255;COVID
58;167.37226666666666;0;254;COVID
59;135.50062222222223;0;228;COVID
60;115.16337777777778;0;203;COVID
61;160.89902222222221;4;255;COVID
62;127.05315555555555;17;255;COVID
63;155.4231111111111;0;218;COVID
64;107.97457777777778;0;199;COVID
65;69.09564444444445;0;187;COVID
66;151.90915555555554;0;219;COVID
67;143.74097777777777;0;237;COVID
68;166.95786666666666;0;255;COVID
69;67.41671111111111;0;222;COVID
70;150.3975111111111;0;227;COVID
71;145.5672888888889;24;212;COVID
72;60.6528;0;244;COVID
73;150.0775111111111;0;223;COVID
74;164.7792;0;255;COVID
75;149.16284444444443;35;243;COVID
76;146.4471111111111;0;222;COVID
77;161.9584;5;255;COVID
78;151.5856;38;195;COVID
79;135.93724444444445;0;248;COVID
80;145.69564444444444;0;208;COVID
81;150.9854222222222;6;209;COVID
82;154.0168888888889;40;212;COVID
83;144.42257777777778;0;216;COVID
84;156.94222222222223;8;255;COVID
85;139.16444444444446;0;247;COVID
86;142.07217777777777;12;249;COVID
87;157.34133333333332;3;247;COVID
88;124.24693333333333;0;239;COVID
89;130.42684444444444;18;240;COVID
90;126.97013333333334;0;255;COVID
91;133.9191111111111;0;214;COVID
92;85.35235555555556;1;199;COVID
93;121.66915555555556;0;213;COVID
94;160.89475555555555;8;255;COVID
95;138.01653333333334;0;248;COVID
96;144.52426666666668;35;225;COVID
97;57.801066666666664;8;111;COVID
98;151.64942222222223;0;206;COVID
99;123.03751111111112;0;212;COVID
100;140.37137777777778;0;234;COVID
101;119.52177777777777;2;217;COVID
102;113.98844444444444;5;238;COVID
103;173.40515555555555;30;250;COVID
104;164.11395555555555;0;252;COVID
105;156.21724444444445;18;243;COVID
106;182.5911111111111;79;253;COVID
107;104.87182222222222;0;232;COVID
108;68.84604444444444;0;191;COVID
109;172.5911111111111;18;236;COVID
110;117.28586666666666;0;236;COVID
111;156.00764444444445;0;255;COVID
112;149.7352888888889;57;232;COVID
113;147.24017777777777;0;253;COVID
114;164.70115555555554;54;216;COVID
115;117.93546666666667;0;228;COVID
116;162.63395555555556;0;243;COVID
117;147.11715555555554;0;209;COVID
118;130.1512888888889;0;243;COVID
119;145.89902222222221;0;229;COVID
120;172.84977777777777;0;220;COVID
121;129.5575111111111;0;246;COVID
122;159.8992;0;255;COVID
123;163.86915555555555;0;218;COVID
124;131.47466666666668;0;213;COVID
125;144.06115555555556;8;209;COVID
126;154.7422222222222;1;222;COVID
127;133.10346666666666;0;228;COVID
128;112.93955555555556;11;163;COVID
129;160.8936888888889;0;226;COVID
130;151.84782222222222;0;253;COVID
131;135.0976;0;233;COVID
132;66.19306666666667;0;224;COVID
133;159.6295111111111;3;230;COVID
134;142.7392;0;255;COVID
135;128.53813333333332;0;209;COVID
136;57.688;0;245;COVID
137;171.53262222222222;0;233;COVID
138;131.4823111111111;0;218;COVID
139;164.75164444444445;0;239;COVID
140;179.50595555555554;26;237;COVID
141;141.71182222222222;0;253;COVID
142;171.95786666666666;0;248;COVID
143;145.09777777777776;47;189;COVID
144;168.54844444444444;0;255;COVID
145;107.86844444444445;0;224;COVID
146;151.20782222222223;0;255;COVID
147;113.66915555555556;0;199;COVID
148;166.24568888888888;12;242;COVID
149;136.91768888888888;0;255;COVID
150;150.12355555555555;0;209;COVID
151;119.05813333333333;0;253;COVID
152;117.51537777777777;1;200;COVID
153;150.02471111111112;17;207;COVID
154;138.17368888888888;0;255;COVID
155;152.02595555555556;0;226;COVID
156;149.93244444444446;8;205;COVID
157;146.9184;0;246;COVID
158;121.53955555555555;0;254;COVID
159;167.49724444444445;0;220;COVID
160;158.85191111111112;61;197;COVID
161;104.74097777777777;0;212;COVID
162;83.3984;0;139;COVID
163;107.58808888888889;0;207;COVID
164;160.95324444444444;0;255;COVID
165;140.52604444444444;6;209;COVID
166;160.47075555555554;0;241;COVID
167;142.38773333333333;0;244;COVID
168;68.84284444444444;0;192;COVID
169;155.05244444444443;38;230;COVID
170;144.6119111111111;20;255;COVID
171;169.71804444444444;2;255;COVID
172;129.55182222222223;21;208;COVID
173;164.16053333333332;0;225;COVID
174;135.8176;8;255;COVID
175;152.7728;17;237;COVID
176;163.6392888888889;0;224;COVID
177;157.76497777777777;6;255;COVID
178;150.87217777777778;0;255;COVID
179;143.72195555555555;0;254;COVID
180;173.84746666666666;24;230;COVID
181;136.5582222222222;0;254;COVID
182;127.69386666666666;0;255;COVID
183;189.3191111111111;0;255;COVID
184;160.07146666666668;0;251;COVID
185;152.73262222222223;0;230;COVID
186;141.1822222222222;0;255;COVID
187;133.9104;0;244;COVID
188;167.64177777777778;0;255;COVID
189;163.42808888888888;5;239;COVID
190;122.91466666666666;32;213;COVID
191;143.95875555555557;0;255;COVID
192;163.47271111111112;17;227;COVID
193;122.38791111111111;0;255;COVID
194;108.05422222222222;0;202;COVID
195;131.67342222222223;0;255;COVID
196;148.24853333333334;0;240;COVID
197;145.85724444444443;0;255;COVID
198;138.54986666666667;0;222;COVID
199;138.58044444444445;0;252;COVID
200;216.57066666666665;46;254;COVID
201;93.5008;0;224;COVID
202;113.1815111111111;3;224;COVID
203;143.41706666666667;5;210;COVID
204;154.70702222222224;0;235;COVID
205;122.5216;0;228;COVID
206;123.54755555555556;0;255;COVID
207;139.64693333333332;0;224;COVID
208;119.36835555555555;0;213;COVID
209;159.45084444444444;0;255;COVID
210;153.99644444444445;0;233;COVID
211;123.21226666666666;1;206;COVID
212;148.80977777777778;0;250;COVID
213;167.4616888888889;0;254;COVID
214;134.26346666666666;0;216;COVID
215;119.2816;2;199;COVID
216;72.67644444444444;0;237;COVID
217;156.16906666666668;51;226;COVID
218;141.168;0;216;COVID
219;164.15964444444444;0;255;COVID
220;168.46755555555555;0;252;COVID
221;133.34275555555556;0;230;COVID
222;165.84462222222223;3;249;COVID
223;150.7400888888889;7;255;COVID
224;135.25173333333333;0;227;COVID
225;151.36693333333332;0;255;COVID
226;123.04053333333333;0;216;COVID
227;131.33937777777777;0;225;COVID
228;148.51448888888888;2;220;COVID
229;153.91466666666668;15;214;COVID
230;146.51306666666667;0;228;COVID
231;130.1712;0;246;COVID
232;138.37013333333334;0;225;COVID
233;162.1512888888889;22;208;COVID
234;142.06008888888888;0;229;COVID
235;70.55324444444445;0;234;COVID
236;106.3328;0;251;COVID
237;155.896;28;217;COVID
238;94.64124444444444;0;255;COVID
239;118.42648888888888;31;184;COVID
240;91.45351111111111;0;179;COVID
241;143.0584888888889;42;224;COVID
242;143.136;12;217;COVID
243;157.5904;33;236;COVID
244;168.47982222222223;4;255;COVID
245;127.52515555555556;0;255;COVID
246;148.65315555555554;0;254;COVID
247;151.32302222222222;18;225;COVID
248;148.95537777777778;4;245;COVID
249;135.6776888888889;19;251;COVID
250;161.8256;4;255;COVID
251;148.43857777777777;0;255;COVID
252;141.04871111111112;0;255;COVID
253;100.77777777777777;0;228;COVID
254;150.55128888888888;0;252;COVID
255;158.3632;0;240;COVID
256;97.80693333333333;0;253;COVID
257;136.76302222222222;55;243;COVID
258;146.55235555555555;0;254;COVID
259;144.20604444444444;0;255;COVID
260;59.21671111111111;0;151;COVID
261;137.53706666666668;26;249;COVID
262;126.76551111111111;0;253;COVID
263;164.61155555555555;10;255;COVID
264;133.13742222222223;0;210;COVID
265;149.8728888888889;8;247;COVID
266;153.2304;6;219;COVID
267;170.0384;2;255;COVID
268;189.19893333333334;8;252;COVID
269;145.22382222222222;4;211;COVID
270;117.69208888888889;3;201;COVID
271;114.62773333333334;0;190;COVID
272;145.2056888888889;7;220;COVID
273;156.92124444444445;0;216;COVID
274;136.48444444444445;0;232;COVID
275;130.39733333333334;0;255;COVID
276;139.96462222222223;3;227;COVID
277;147.8878222222222;0;255;COVID
278;126.64266666666667;0;226;COVID
279;127.55004444444444;0;254;COVID
280;151.29368888888888;20;233;COVID
281;153.87893333333332;0;249;COVID
282;158.69297777777777;0;250;COVID
283;146.79342222222223;38;238;COVID
284;127.28906666666667;0;255;COVID
285;137.46311111111112;0;255;COVID
286;127.67662222222222;0;237;COVID
287;97.59128888888888;0;207;COVID
288;149.1776;0;255;COVID
289;138.35982222222222;0;219;COVID
290;153.36853333333335;0;255;COVID
291;140.3368888888889;0;255;COVID
292;137.25564444444444;52;230;COVID
293;149.82115555555555;29;255;COVID
294;164.03733333333332;2;247;COVID
295;164.06275555555555;0;255;COVID
296;121.61013333333334;16;219;COVID
297;141.168;4;255;COVID
298;139.856;0;255;COVID
299;114.96;0;197;COVID
300;150.50595555555554;0;255;COVID
301;189.97066666666666;0;253;COVID
302;136.08035555555554;1;213;COVID
303;146.61777777777777;2;221;COVID
304;158.25315555555557;0;254;COVID
305;167.06506666666667;0;255;COVID
306;149.1255111111111;17;245;COVID
307;128.24942222222222;0;244;COVID
308;159.04835555555556;0;255;COVID
309;160.176;29;243;COVID
310;150.39502222222222;0;251;COVID
311;137.88497777777778;0;255;COVID
312;164.37493333333333;0;255;COVID
313;109.64586666666666;2;208;COVID
314;182.62506666666667;0;254;COVID
315;179.35342222222224;0;255;COVID
316;106.30808888888889;2;205;COVID
317;156.68924444444445;0;253;COVID
318;141.67182222222223;0;255;COVID
319;123.61582222222222;5;200;COVID
320;181.54417777777778;5;255;COVID
321;150.90133333333333;0;254;COVID
322;109.29066666666667;7;194;COVID
323;135.12017777777777;0;200;COVID
324;164.74471111111112;5;255;COVID
325;109.7880888888889;0;244;COVID
326;158.93155555555555;66;228;COVID
327;140.73155555555556;0;222;COVID
328;152.7872;35;219;COVID
329;156.63502222222223;0;255;COVID
330;126.24782222222223;2;202;COVID
331;155.47982222222223;33;227;COVID
332;149.54844444444444;0;255;COVID
333;131.01475555555555;0;217;COVID
334;120.60195555555555;0;245;COVID
335;173.70915555555555;9;248;COVID
336;146.36551111111112;17;217;COVID
337;154.01777777777778;6;255;COVID
338;167.43164444444446;0;255;COVID
339;158.78382222222223;70;228;COVID
340;144.03644444444444;2;247;COVID
341;149.1008;0;239;COVID
342;99.44035555555556;31;151;COVID
343;167.88177777777778;4;255;COVID
344;167.41368888888888;0;231;COVID
345;162.5432888888889;88;227;COVID
